step,acc_rate,delta_w,delta_theta,avg_w,avg_cos_theta,S_entropy,S_triangle,action
24000,0.6469583333333333,5756.503766994982,11513.007533989963,0.08763811421162003,-0.017277785187773155,-75.11138230017413,-183.17836184882708,-333.4011264491753
25000,0.63556,8428.097165257355,16856.19433051471,0.08714344308138142,-0.01213476912739729,-74.6747533751652,-182.93232834655828,-332.2818350968887
26000,0.6248846153846154,12339.577059653298,24679.154119306597,0.08506230046317383,-0.022542040970412163,-73.9568927336292,-186.8972627724531,-334.8110482397115
27000,0.6149629629629629,16423.977066398544,32847.95413279709,0.08450093323815594,-0.010581194204277765,-72.99171314833919,-175.05102607894466,-321.034452375623
28000,0.6056785714285714,21860.313475376464,43720.62695075293,0.08433570119854387,0.011684821582407249,-72.70224916498299,-190.16492125185047,-335.5694195818164
29000,0.5967586206896551,26450.97930520553,52901.95861041106,0.0840448340411325,-0.0056342839201517485,-72.33660264940809,-204.513630237711,-349.18683553652716
30000,0.5876666666666667,29096.077235726083,58192.154471452166,0.08398963847751903,-0.0023446676718046045,-72.1637406786275,-206.43048752261794,-350.7579688798729
31000,0.5792258064516129,32005.684959298695,64011.36991859739,0.08329896318844601,0.0011233630170234363,-71.96924988922038,-197.0498094856862,-340.988309264127
32000,0.57215625,38726.87880075142,77453.75760150285,0.08264461111488774,0.0048590082754660325,-71.89446592013181,-207.90075684267723,-351.68968868294087
33000,0.5645757575757576,42599.56668082657,85199.13336165313,0.08039588485234837,0.02497138701926054,-70.77431541393993,-188.41783962454826,-329.9664704524281
34000,0.5577647058823529,51545.475683800156,103090.95136760031,0.07989963900566706,-0.004521077511346075,-69.95370094839477,-188.98246242221046,-328.889864319
35000,0.5521428571428572,68607.02813513803,137214.05627027605,0.07989963900566706,-0.029023798555206225,-69.95370094839477,-198.83016606961678,-338.73756796640635
36000,0.5464722222222222,83014.50404351702,166029.00808703405,0.07925707723581911,-0.004101536394924255,-69.7204237272312,-193.8113660260812,-333.2522134805436
37000,0.5406756756756756,91315.95444786873,182631.90889573746,0.07925707721817665,-0.02676559512440972,-69.72042337434192,-211.51825192798162,-350.95909867666546
38000,0.5342631578947369,91315.95444786873,182631.90889573746,0.07925707721817665,-0.03127954344776559,-69.72042337434192,-191.8796861827033,-331.3205329313871
39000,0.5293076923076923,110492.30488192118,220984.60976384237,0.07925707721817665,-0.012182035334012933,-69.72042337434192,-183.3494535076205,-322.79030025630436
40000,0.524575,121541.53537011331,243083.07074022663,0.0785184427070358,-0.014242846682766097,-69.5683631585315,-179.38273594228195,-318.51946225934495
41000,0.5201707317073171,147065.25779783714,294130.5155956743,0.0785184427070358,-0.00358602528486835,-69.5683631585315,-171.78915360907604,-310.92587992613903
42000,0.5156428571428572,161771.78357762087,323543.56715524173,0.0785184427070358,0.010333591763996543,-69.5683631585315,-196.74055557548192,-335.87728189254494
43000,0.5112325581395348,177948.96193538298,355897.92387076595,0.0785184427070358,0.015998703529500807,-69.5683631585315,-195.3853472215447,-334.5220735386077
44000,0.507,177948.96193538298,355897.92387076595,0.0785184427070358,0.011673872493234594,-69.5683631585315,-218.1041986425738,-357.2409249596368
45000,0.5030888888888889,215318.24394181345,430636.4878836269,0.0785184427070358,-0.005133509900151498,-69.5683631585315,-222.63461236563532,-361.77133868269834
46000,0.4986304347826087,215318.24394181345,430636.4878836269,0.07851844270384623,-0.022539571363341143,-69.56836308857878,-220.22193231023704,-359.35865848739456
47000,0.4950425531914894,236850.06833599482,473700.13667198963,0.07851844270384623,-0.02824110536092007,-69.56836308857878,-208.3305618349434,-347.467288012101
48000,0.4913125,236850.06833599482,473700.13667198963,0.07851844270384623,-0.014884625016566152,-69.56836308857878,-206.15289959322436,-345.2896257703819
49000,0.48773469387755103,236850.06833599482,473700.13667198963,0.07851844270384623,-0.01880982766430078,-69.5683630885788,-207.15430581806538,-346.29103199522297
50000,0.4845,260535.07516959432,521070.15033918864,0.07851844270384623,-0.020485537914972658,-69.5683630885788,-207.81615563514384,-346.9528818123015
51000,0.48127450980392156,286588.58268655377,573177.1653731075,0.07823156463465683,-0.021579385001077554,-69.20326252626768,-210.56118920620472,-348.9677142587401
52000,0.4781153846153846,315247.4409552092,630494.8819104184,0.07823156463465683,-0.015337611046943863,-69.20326252626768,-195.18096558801926,-333.5874906405546
53000,0.4752264150943396,315247.4409552092,630494.8819104184,0.07823156463465683,0.0031108702852740908,-69.20326252626768,-193.39845520473273,-331.8049802572681
54000,0.47274074074074074,381449.4035558032,762898.8071116064,0.07813924302054258,0.006102373056084166,-68.96769739270027,-188.45618481921815,-326.3915796046187
55000,0.46998181818181817,419594.34391138353,839188.6878227671,0.07813924302054258,0.005468799746994158,-68.96769739270027,-192.83081707303813,-330.7662118584387
56000,0.4675535714285714,507709.15613277414,1015418.3122655483,0.07813924302054258,-0.002740473336036519,-68.96769739270027,-218.79986819950855,-356.7352629849091
57000,0.46517543859649124,614328.0789206567,1228656.1578413134,0.07813924302054258,0.01040478376142004,-68.96769739270027,-206.58396020402026,-344.5193549894208
58000,0.4628448275862069,675760.8868127224,1351521.7736254449,0.07813924302054258,0.017780747299268766,-68.96769739270027,-208.15903194887184,-346.09442673427236
59000,0.4604576271186441,743336.9754939948,1486673.9509879895,0.07813924302054258,0.009282364942531754,-68.96769739270027,-179.43627113784657,-317.3716659232471
60000,0.45863333333333334,899437.7403477338,1798875.4806954677,0.07813924302054258,-0.00407938299256026,-68.96769739270027,-161.95948416184208,-299.89487894724266
61000,0.45701639344262296,1197151.632402834,2394303.264805668,0.07813924302054258,-0.0024604851968525773,-68.96769739270027,-193.98082294662188,-331.91621773202246
62000,0.45469354838709675,1197151.632402834,2394303.264805668,0.07813924302054258,0.007025673801206963,-68.96769739270027,-200.60260968696085,-338.5380044723614
63000,0.4529365079365079,1448553.4752074294,2897106.9504148588,0.07813924302054258,0.013419245503276379,-68.96769739270027,-180.31219826378964,-318.2475930491902
64000,0.451046875,1448553.4752074294,2897106.9504148588,0.07813924302054258,0.0036113330346816746,-68.96769739270027,-180.77177674920844,-318.70717153460896
65000,0.44876923076923075,1448553.4752074294,2897106.9504148588,0.07813924302054258,0.02002120246966212,-68.96769739270027,-188.35138645827166,-326.2867812436722
66000,0.4471969696969697,1752749.7050009898,3505499.4100019797,0.07813924302054258,0.02634233853805039,-68.96769739270027,-177.9306364732177,-315.86603125861825
67000,0.44538805970149253,2120827.143051198,4241654.286102396,0.07813924302054258,0.041636128158079995,-68.96769739270027,-183.7197618858345,-321.65515667123503
68000,0.44369117647058826,2566200.8430919503,5132401.686183901,0.07813924302054258,0.027144526040650128,-68.96769739270027,-188.53949781878399,-326.47489260418456
69000,0.44204347826086954,2822820.9274011455,5645641.854802291,0.07813924302054258,0.02027865729174686,-68.96769739270027,-195.8573357310008,-333.7927305164013
70000,0.4403714285714286,2822820.9274011455,5645641.854802291,0.07813924302054258,0.010111345114750796,-68.96769739270027,-192.30871766719915,-330.24411245259967
71000,0.43877464788732395,3415613.3221553867,6831226.644310773,0.07813924302054258,-0.01682793394618571,-68.96769739270027,-179.98093637788085,-317.91633116328137
72000,0.43709722222222225,3415613.3221553867,6831226.644310773,0.07813924302054258,-0.011346076535040819,-68.96769739270027,-185.16021204631983,-323.0956068317204
73000,0.4357260273972603,3757174.654370926,7514349.308741852,0.07813924302054258,-0.007023324292391463,-68.96769739270027,-188.36744583659737,-326.3028406219979
74000,0.4341891891891892,4132892.1198080187,8265784.239616037,0.07813924302054258,-0.008256457837716646,-68.96769739270027,-200.76731198453217,-338.7027067699327
75000,0.43277333333333334,4132892.1198080187,8265784.239616037,0.07813924302054258,0.019032260994408773,-68.96769739270027,-204.29951331301083,-342.2349080984114
76000,0.4316184210526316,4546181.331788821,9092362.663577642,0.07813924302054258,0.01793799994750573,-68.96769739270027,-198.90771232404535,-336.8431071094459
77000,0.43012987012987014,4546181.331788821,9092362.663577642,0.07813924302054258,0.020644894754431372,-68.96769739270027,-198.3705694175981,-336.30596420299867
78000,0.42855128205128207,4546181.331788821,9092362.663577642,0.07813924302054258,0.031388147367202635,-68.96769739270027,-198.57203684520726,-336.5074316306078
79000,0.4272658227848101,4546181.331788821,9092362.663577642,0.07813924302054258,0.0245216649861624,-68.96769739270027,-219.19867263125388,-357.13406741665443
80000,0.4261375,5500879.411464474,11001758.822928948,0.07813924302054258,0.024810454488991874,-68.96769739270027,-215.81345882404378,-353.7488536094443
81000,0.4249506172839506,6050967.352610922,12101934.705221845,0.07813924302054258,0.01889912667217649,-68.96769739270027,-204.64821588007752,-342.5836106654781
82000,0.424,7321670.496659217,14643340.993318435,0.07813924302054258,0.0016931284869904253,-68.96769739270027,-214.17230851318482,-352.10770329858536
83000,0.4226987951807229,7321670.496659217,14643340.993318435,0.07813924302054258,0.003279664623572056,-68.96769739270027,-219.97440942552225,-357.9098042109228
84000,0.4217619047619048,8859221.300957654,17718442.601915307,0.07813924302054258,-0.011145396170529863,-68.96769739270027,-209.8254518017624,-347.760846587163
85000,0.4206,9745143.43105342,19490286.86210684,0.07813924302054258,-0.024912373406092397,-68.96769739270027,-208.34316694441614,-346.2785617298167
86000,0.4194418604651163,9745143.43105342,19490286.86210684,0.07813924302054258,-0.03666929892095135,-68.96769739270027,-212.25129954838613,-350.1866943337867
87000,0.41811494252873566,9745143.43105342,19490286.86210684,0.07813924302054258,-0.043597315462572554,-68.96769739270027,-218.45061564502313,-356.38601043042365
88000,0.4168863636363636,9745143.43105342,19490286.86210684,0.07813924302054258,-0.04122405557535482,-68.96769739270027,-198.71962961441702,-336.65502439981753
89000,0.416,12970785.906732105,25941571.81346421,0.07813924302054258,-0.03770151435952726,-68.96769739270027,-195.67327832886022,-333.6086731142608
90000,0.4152111111111111,17264116.041860435,34528232.08372087,0.07813924302054258,-0.033660240234315596,-68.96769739270027,-194.8240336786136,-332.75942846401415
91000,0.4145054945054945,18990527.646046482,37981055.292092964,0.07813924302054258,-0.016163098436288808,-68.96769739270027,-196.98178078281364,-334.9171755682142
92000,0.4136195652173913,18990527.646046482,37981055.292092964,0.07813924302054258,-0.00974848680396519,-68.96769739270027,-204.81048025227398,-342.7458750376745
93000,0.4124838709677419,18800622.36958602,37601244.73917204,0.07813924302054258,0.0013067016577495453,-68.96769739270027,-204.12398743767616,-342.0593822230767
94000,0.41154255319148936,22748753.06719909,45497506.13439818,0.07813924302054258,-0.014998030483011574,-68.96769739270027,-189.95377239861847,-327.889167184019
95000,0.4106105263157895,25023628.373919,50047256.747838,0.07813924302054258,0.013682839987537785,-68.96769739270027,-190.5068991305742,-328.44229391597474
96000,0.40959375,24773392.090179812,49546784.180359624,0.07813924302054258,0.010674285391514974,-68.96769739270027,-197.46560936365836,-335.4010041490589
97000,0.4087422680412371,27250731.299197797,54501462.59839559,0.07813924302054258,0.001016104513618018,-68.96769739270027,-202.08311679081277,-340.0185115762133
98000,0.4079795918367347,29975804.42911758,59951608.85823516,0.07813924302054258,0.024288996160118977,-68.96769739270027,-211.3891625916549,-349.32455737705544
99000,0.40736363636363637,36270723.35923228,72541446.71846455,0.07813924302054258,0.03981013035394105,-68.96769739270027,-202.838500759582,-340.77389554498257
100000,0.40639,36270723.35923228,72541446.71846455,0.07813924302054258,0.027414991949304468,-68.96769739270027,-212.72996557680628,-350.6653603622068
101000,0.40531683168316834,36270723.35923228,72541446.71846455,0.07813924302054258,0.002850000498416038,-68.96769739270027,-219.63419062352506,-357.5695854089256
102000,0.4047647058823529,43887575.264671065,87775150.52934213,0.07813924302054258,-0.01155085810138376,-68.96769739270027,-231.67062310848556,-369.60601789388613
103000,0.4039902912621359,43887575.264671065,87775150.52934213,0.07813924302054258,-0.006007316658533165,-68.96769739270027,-225.3590304082707,-363.29442519367126
104000,0.40308653846153847,43887575.264671065,87775150.52934213,0.07813924302054258,-0.012084134137560104,-68.96769739270027,-224.60544262084355,-362.5408374062441
105000,0.4026571428571429,58414362.6772772,116828725.3545544,0.07813924302054258,-0.022976739885126878,-68.96769739270027,-196.4507420831393,-334.38613686853984
106000,0.4017452830188679,58414362.6772772,116828725.3545544,0.07813924302054258,-0.014740118733896973,-68.96769739270027,-203.39255852005044,-341.327953305451
107000,0.40129906542056076,77749516.72345597,155499033.44691193,0.07813924302054258,0.006196953977307451,-68.96769739270027,-213.31273701624497,-351.2481318016455
108000,0.4007222222222222,85524468.39580157,171048936.79160315,0.07813924302054258,0.0036474253670000503,-68.96769739270027,-204.50384332024905,-342.43923810564957
109000,0.4003302752293578,113833067.43481192,227666134.86962384,0.07813924302054258,0.003613436282041802,-68.96769739270027,-210.94688066108603,-348.8822754464866
110000,0.39984545454545456,151511812.7557347,303023625.5114694,0.07813924302054258,0.02458865253586903,-68.96769739270027,-209.05385108732864,-346.98924587272916
111000,0.39896396396396394,151511812.7557347,303023625.5114694,0.07813924302054258,0.03893414773532271,-68.96769739270027,-187.81895295740387,-325.7543477428044
112000,0.39801785714285715,136360631.48016125,272721262.9603225,0.07813924302054258,0.016576073853020176,-68.96769739270027,-209.0128737663339,-346.9482685517345
113000,0.39739823008849556,149996694.62817737,299993389.25635475,0.07813924302054258,0.009429275532637464,-68.96769739270027,-212.98287332325583,-350.9182681086564
114000,0.3967894736842105,164996364.09099513,329992728.18199027,0.07813924302054258,0.010386735493143513,-68.96769739270027,-204.27193271161573,-342.2073274970163
115000,0.396304347826087,219610160.60511458,439220321.21022916,0.07813924302054258,0.0031623898148838803,-68.96769739270027,-201.5709900971168,-339.50638488251735
116000,0.39575,241571176.66562605,483142353.3312521,0.07813924302054258,0.015290990857705458,-68.96769739270027,-188.96049975425498,-326.8958945396555
117000,0.394965811965812,217414058.99906346,434828117.9981269,0.07813924302054258,0.004862108769372241,-68.96769739270027,-196.40034566065464,-334.3357404460552
118000,0.39414406779661015,217414058.99906346,434828117.9981269,0.07813924302054258,-0.016938684421143217,-68.96769739270027,-196.14803375013045,-334.08342853553097
119000,0.39368067226890757,239155464.89896983,478310929.79793966,0.07813924302054258,-0.01640917608556858,-68.96769739270027,-203.5425315165046,-341.47792630190514
120000,0.39345,318315923.7805289,636631847.5610578,0.07813924302054258,-0.016830834257964736,-68.96769739270027,-184.65002007794976,-322.5854148633503
